city,timestamp,temperature,season
New York,2010-01-01,-4.061829538190932,winter
New York,2010-01-02,-0.9280411410592976,winter
New York,2010-01-03,-10.462472345843903,winter
New York,2010-01-04,-12.073704205806347,winter
New York,2010-01-05,0.5457114429363291,winter
New York,2010-01-06,-8.65530972331386,winter
New York,2010-01-07,0.29094548726010894,winter
New York,2010-01-08,-4.129661371885949,winter
New York,2010-01-09,2.0402830271305095,winter
New York,2010-01-10,5.511039787809619,winter
New York,2010-01-11,7.153458980171756,winter
New York,2010-01-12,2.375678726381082,winter
New York,2010-01-13,0.23295486205264443,winter
New York,2010-01-14,-4.799632224420957,winter
New York,2010-01-15,4.927636418298079,winter
New York,2010-01-16,0.6687240902705378,winter
New York,2010-01-17,-3.6330513387107324,winter
New York,2010-01-18,0.021727725516881756,winter
New York,2010-01-19,-9.476250184879467,winter
New York,2010-01-20,-1.3876079662829972,winter
New York,2010-01-21,1.1105792828336718,winter
New York,2010-01-22,0.6325771410837686,winter
New York,2010-01-23,2.249515939730157,winter
New York,2010-01-24,-11.896531412543878,winter
New York,2010-01-25,-1.0254412340704953,winter
New York,2010-01-26,-2.682625035175473,winter
New York,2010-01-27,-1.5613681577907954,winter
New York,2010-01-28,-2.4401652204262403,winter
New York,2010-01-29,4.933153633985257,winter
New York,2010-01-30,6.199037208255326,winter
New York,2010-01-31,-4.205424889375479,winter
New York,2010-02-01,9.08313522914764,winter
New York,2010-02-02,0.2155385172528941,winter
New York,2010-02-03,-2.286876242846753,winter
New York,2010-02-04,-1.8010330024262382,winter
New York,2010-02-05,-0.6776335634895586,winter
New York,2010-02-06,-5.577076852028018,winter
New York,2010-02-07,-3.4143723980529272,winter
New York,2010-02-08,3.0676013407471596,winter
New York,2010-02-09,-0.6555037823383058,winter
New York,2010-02-10,-4.505136340866508,winter
New York,2010-02-11,10.012134200202123,winter
New York,2010-02-12,7.596233524991257,winter
New York,2010-02-13,-3.773242686456678,winter
New York,2010-02-14,5.198234632453222,winter
New York,2010-02-15,4.469014263300931,winter
New York,2010-02-16,1.9636687441260803,winter
New York,2010-02-17,5.492933423058485,winter
New York,2010-02-18,-3.543139250048359,winter
New York,2010-02-19,1.0804296048738458,winter
New York,2010-02-20,3.369896259398191,winter
New York,2010-02-21,5.310980182838624,winter
New York,2010-02-22,8.327380443628204,winter
New York,2010-02-23,-9.206516570221444,winter
New York,2010-02-24,1.3698758351918912,winter
New York,2010-02-25,-0.23930348359600642,winter
